ogc_fid,objectid,pid,Folio,true_site_addr,true_site_unit,true_site_city,true_site_zip_code,true_mailing_addr1,true_mailing_addr2,true_mailing_addr3,true_mailing_city,true_mailing_state,true_mailing_zip_code,true_mailing_country,Ownership,true_owner1,true_owner2,true_owner3,Owner Categories,condo_flag,parent_folio,dor_code_cur,dor_desc,subdivision,bedroom_count,bathroom_count,half_bathroom_count,floor_count,unit_count,building_actual_area,building_heated_area,lot_size,year_built,assessment_year_cur,assessed_val_cur,dos_1,price_1,legal,Field2,Unnamed: 40,camp_ownership,camp_categories,exclude
563211,563211,531376,3530280000030,,,Doral,33172-0000,1701 COLUMBIA AVE,,,COLLEGE PARK,GA,30337,,Federal,USA,,,Governmental,N,,8098,VACANT GOVERNMENTAL : FEDERAL,353028000.0,0,0,0,0,0,0,0,7010023.68,0,2020,59573456,,,28 53 40 160.928 AC M/L SW 1/4 LESS N 35 FT EXCL N 35 FT OF W 100 FT FOR R/W & LESS E35FT & EXT AREA OF CURVE IN NE COR FOR R/W FAU 30 3028 000 0030,2,,Federal,Governmental,
176379,176379,534958,1079220010190,1 SPEEDWAY BLVD,,Homestead,33035-0000,100 CIVIC CT,,,HOMESTEAD,FL,33030-6024,,City of Homestead,CITY OF HOMESTEAD,,,Governmental,N,,8940,MUNICIPAL : MUNICIPAL,107922001.0,0,0,0,0,0,1301,1301,6742216.8,2005,2020,4595635,19740901.0,9174000.0,22 57 39 154.78 AC M/L MIA LAND & DEV COS SUB PB 5-10 ALL OF BLK 4 LESS N-E & W30FT FOR R/W THEREOF & 50FT OF SW 344 ST LYG S & ADJ CLOSED PER R-88-09-30 OR 15963-1768 0593 3,1,,City of Homestead,Governmental,
515951,515951,394590,3350240000010,,,Palmetto Bay,33158-0000,PO BOX 950,,,ATHENS,GA,30605,,Federal,U S DEPT OF AGRICULTURE,% V MCNUTT,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,335024000.0,0,0,0,0,0,0,0,6644206.8,0,2020,54317210,,,24 55 40 152.53 AC M/L NW1/4 LESS PT TO KINGS BAY CO PER DB 3221-377 & LESS OR 4333-316 LOT SIZE IRREGULAR F/A/U 30-5024-000-0010 & 30-5024-000-0070,2,,Federal,Governmental,
418467,418467,549687,3059080010010,,,Unincorporated County,33196-0000,275 NW 2 ST 4FL,,,MIAMI,FL,33128-1794,,Miami-Dade County,MIAMI-DADE COUNTY,PARKS AND RECREATION,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,305908001.0,0,0,0,0,0,0,0,6554778.0,0,2020,35690766,20000701.0,10253200.0,8 55 39 150.477 AC M/L GREATER MIAMI ESTS PART 1 ALL TR 1 LESS N70FT FOR BLACK GREEK CANAL R/W & LESS BEG 1473.60FTN & 30FTW OF SE COR OF SEC 8 TH NWLY AD 348.46FT CONT NWLY AD 849.35FT N 02 DEG W 10.68FT N 87 DEG E 118.46FT ELY AD 184.72FT S 02 DEG E 1094.90FT TO POB PER W/P #23043,2,,Miami-Dade County,Governmental,
249274,249274,442294,3029140000040,,,Unincorporated County,33018-0000,3900 COMMONWEALTH BLVD,,,TALLAHASSEE,FL,32399,,State of Florida,TRS OF II FUND,,,Governmental,N,,8081,VACANT GOVERNMENTAL : VACANT LAND,302914000.0,0,0,0,0,0,0,0,5774531.4,0,2020,5211410,19990701.0,0.0,14 52 39 132.565 AC M/L BEG 1318.80FTW OF NE COR OF SEC CONT W3332.85FT S80.62FT S 39 DEG W 184.64FT SE4600.51FT N3138.10FT TO POB OR 18755-3473 0899 3,2,,State of Florida,Governmental,
549591,549591,402578,3421170040010,3978 NW 167 ST,,Miami Gardens,33054-0000,PO BOX 526624,,,MIAMI,FL,33152-6624,,Miami-Dade County,MIAMI-DADE COUNTY,AVIATION DEPARTMENT - FINANCE,,Governmental,N,,8047,VACANT GOVERNMENTAL : DADE COUNTY,342117004.0,0,0,0,0,0,0,0,3428475.2,0,2020,7458054,,,17 52 41 78.71 AC VENETIAN GARDENS REV PB 31-37 TR 1 LESS BISC CANAL R/W & S200FT TR 2 & S280FT OF W1/2 & S240FT OF E1/2 TR 13 & TR 14 LESS BISC CANAL R/W & S200FT TR 15FT S200FT TR 36 & S240FT TR 37 & S240FT OF TR 55 & TR 56 LESS BISC CANAL R/W & S200FT TR 57 & S240FT OF W1/2 & S225FT OF E1/2 TR 78 & TR 79 LESS BISC CANAL R/W & S280FT TR 80 & S280FT TR 91 & VENETIAN ACRES PB 44-92 ALL BLOCK 8 LESS BISC CANAL R/W & MIAMI GARDENS PB 2-96 18-52-41 PORT TRS 81 THRU 96 HAVING A DEPTH OF 296.23FT ON W SIDE TR 89 TO A GRAD INCR IN DEPTH TO 366.55FT ON E SIDE TR 96 & THAT PORT TRS 101 THRU 112 LYG N OF BISC CANAL R/W LESS W100FT TR 112 FOR NW 57 AVE R/W & PORTS OF NW 155 TERR & NW 37 CT & NW 37 PLACE & NW 38 CT & NW 38 PLACE & NW 39 CT & NW 39 PL & NW 40 CT & NW 41 AVE & NW 42 AVE & NW 47 AVE ALL LYG N OF BISC CANAL PER RES 1279-66 LOT SIZE IRREGULAR F/A/U 30-2117-004-0010,2,,Miami-Dade County,Governmental,
249506,249506,531700,3029240000050,,,Unincorporated County,33018-0000,3900 COMMONWEALTH BLVD #412,,,TALLAHASSEE,FL,32399,,State of Florida,TRS OF II FUND,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,302924000.0,0,0,0,0,0,0,0,1748324.16,0,2020,1340325,19941001.0,1098400.0,24 52 39 40.1363 AC M/L BEG 1145.17FTW & 726FTS OF NE COR OF SEC CONT S1634.82FT W40FT S 62 DEG W 64.72FT TO NELY R/W/L OF SR 25 NW2158.64FT N298.15FT E1715.05FT TO POB OR 19365-3140 0900 3,2,,State of Florida,Governmental,
441357,441357,444840,3059280000035,14950 SW 160 ST,,Unincorporated County,33187-1473,1450 NE 2 AVE,,,MIAMI,FL,33132-1308,,School Board,SCHOOL BOARD OF MIAMI DADE COUNTY,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,305928000.0,0,0,0,0,0,0,0,1687079.0,0,2020,3374158,19740301.0,450000.0,28 55 39 1687079 SQ FT NW1/4 OF SE1/4 LESS BEG 35FT S & 178.68FT W OF NE COR S359.29FT E153.69FT N ALG A LINE 25FT W OF & PARRL TO E/L FOR 334.44FT NWLY ALG CURVE TO LEFT AN ARC DIST 39.92FT W129.03FT TO POB & LESS N35FT LOT SIZE IRREGULAR COURT CASE #07-25661,2,,School Board,Governmental,
532399,532399,564784,3421030010710,19199 NW 27 AVE,,Miami Gardens,33056-0000,18605 NW 27 AVE,,,MIAMI GARDENS,FL,33056,USA,City of Miami Gardens,CITY OF MIAMI GARDENS,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,342103001.0,0,0,0,0,0,0,0,1642125.0,0,2020,13908798,20061201.0,10514200.0,3 52 41 37 .698 AC M/L MIAMI GARDENS PB 2-96 PORT OF TRS 37 38 39 40 61 62 63- 64 67 68 93 94 99 100 DESC BEG 2182.13FTS & 331.28FTE OF NW COR OF SEC CONT N 87 DEG E 219.14FT S 84 DEG E 125.99FT N 87 DEG E 504.79FT S 02 DEG E 2641.39FT S 87 DEG W 520FT N 02 DEG W 880.66FT N 87 DEG E 7.84FT N 02 DEG W 660.59FT S 87 DEG W 564.8FT WLY NWLY NLY AD 39.27FT N 02 DEG W 350FT N 01 DEG E 4.62FT N 02 DEG W 180FT NLY NWLY ELY AD 78.49FT N 02 DEG W 73.25FT N 87 DEG E 162.13FT ELY NELY NLY AD 61FT N 02 DEG W 395.94FT TO POB LESS 586.38FT THEREOF,2,,City of Miami Gardens,Governmental,
249501,249501,561589,3029240000010,,,Unincorporated County,33018-0000,3900 COMMONWEALTH BLVD,,,TALLAHASSEE,FL,32399,,State of Florida,TRS OF II FUND,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,302924000.0,0,0,0,0,0,0,0,1572690.24,0,2020,1084350,19941001.0,868600.0,24 52 39 36.104 AC M/L ALL OF SEC LYG NELY OF SR 25 R/W LESS PB 27-78 & LESS BEG NE COR OF SEC TH W1145.17FT S726FT W1715.05FT S298.15FT TO NELY R/W OF SR 25 SELY3689.64FT N TO POB OR 19365-3140 0900 3,2,,State of Florida,Governmental,
